날짜,발전기명,설비용량(MW),일발전량(Wh)
2021-05-08,광양항어울림태양광,0.656,4148160
2021-05-09,광양항어울림태양광,0.656,4327200
2021-05-10,광양항어울림태양광,0.656,2450880
2021-05-11,광양항어울림태양광,0.656,1573440
2021-05-12,광양항어울림태양광,0.656,3492480
2021-05-13,광양항어울림태양광,0.656,4177440
2021-05-14,광양항어울림태양광,0.656,3274560
2021-05-15,광양항어울림태양광,0.656,898080
2021-05-16,광양항어울림태양광,0.656,441600
2021-05-17,광양항어울림태양광,0.656,1591200
2021-05-18,광양항어울림태양광,0.656,3217440
2021-05-19,광양항어울림태양광,0.656,3936480
2021-05-20,광양항어울림태양광,0.656,822240
2021-05-21,광양항어울림태양광,0.656,3286080
2021-05-22,광양항어울림태양광,0.656,4379520
2021-05-23,광양항어울림태양광,0.656,3854880
2021-05-24,광양항어울림태양광,0.656,3270240
2021-05-25,광양항어울림태양광,0.656,3719520
2021-05-26,광양항어울림태양광,0.656,2242080
2021-05-27,광양항어울림태양광,0.656,2076000
2021-05-28,광양항어울림태양광,0.656,3024480
2021-05-29,광양항어울림태양광,0.656,4270080
2021-05-30,광양항어울림태양광,0.656,4157760
2021-05-31,광양항어울림태양광,0.656,4020480
